title,category
"Em teste, WhatsApp Business permite que empresas façam cadastro com fixo",tec
Por que é mais difícil para as mulheres lutar contra alcoolismo e dependência às drogas,equilibrioesaude
Compare as mensalidades de 1.104 escolas privadas de São Paulo,educacao
"Em série sobre Revolução Russa, Mika Lins lê teses famosas de Lênin",tv
Programa espacial soviético teve ideal social e pai anônimo,ciencia
Pesquisadores e estudantes marcham na Paulista contra cortes na ciência,ciencia
"Educar aluno não é apenas ensinar conteúdo, diz professor de Harvard",educacao
Livro conta os 'fracassos' de cientistas que caçam respostas na natureza,ciencia
Evento da Folha discute crise no financiamento da ciência,ciencia
Cientista modifica forma de bactérias para combatê-las,equilibrioesaude
Terceira Marcha pela Ciência ocorre domingo em SP,ciencia
Qual o melhor tipo de cirurgia para miopia?,equilibrioesaude
Latam inaugura voo direto de 15 horas entre Chile e Austrália,turismo
Game on-line transforma alunos em prefeitos por um dia em sala de aula,educacao
Jornalista da Folha recebe prêmio por matéria sobre Ciência sem Fronteiras,ciencia
"Turismo de Las Vegas deve se recuperar em meses, dizem analistas",turismo
"O inusitado currículo do Nobel de Química, que faz graça com a própria dislexia",ciencia
Vídeo ensina a usar simulador do Tesouro Direto; veja,tv
"Vai demorar, mas religiões cairão em desuso, diz historiador da ciência",ciencia
Galaxy Note 8 chega ao Brasil neste mês com preço a partir de R$ 4.399,tec
Brasileiro cria app para economizar no passeio de gôndolas em Veneza,turismo
Vídeo explica diferentes cenários das eleições de 2018,tv
AirBnB passa a fazer reserva de restaurantes,turismo
Museus lembram quatro décadas de opressão soviética sobre outros países,turismo
"'Viagem ao Japão é aula de cultura e tradição', diz ator Jayme Matarazzo",turismo
Veja como aproveitar bem uma escala longa,turismo
Moscou tem reminiscências do regime socialista por todos os lados,turismo
Fotógrafo brasileiro usa imagens em prol da preservação de espécies,turismo
Busca por pacote para a Copa sobe após início da venda de ingressos,turismo
Prisões secretas e bunkers soviéticos se revelam aos turistas nos bálticos,turismo
Eventos na Alemanha celebram 500 anos da Reforma Protestante,turismo
Cinco cidades com patrimônios históricos perto de São Paulo,turismo
"Após 40 anos, Coliseu reabrirá andar mais alto para visitação em novembro",turismo
Holandês que trabalha em Campinas passou raspando no Nobel de Química,ciencia
Soro antizika previne doença em macacos,ciencia
Fone de ouvido do Google consegue fazer tradução simultânea,tec
Trio vence Nobel de Química por 'fotografias' da vida molecular,ciencia
Funcionamento do cérebro humano inspira novos computadores,tec
"Perdas com tarefa administrativa custam R$ 79,5 bi a PMEs, diz estudo",tec
"Todas as contas do Yahoo! foram afetadas por ataque hacker de 2013, diz Verizon",tec
